contractor_name,license_number,specialty,permit_count,total_project_value
WYGAL BUILDERS LLC,WYGALBL859C7,General Contractor,5,2219565
renco llc,RENCOL*803BM,Single Family/Duplex,5,1104117
2FL Enterprises LLC,2FLENFE906BG,General Contractor,4,847550
3 BROTHERS DECKING LLC,3BROTBD817J6,General Contractor,4,240000
4 BROTHERS HOME,4BROTBH785DM,General Contractor,4,2307861
ABSHER CONSTRUCTION CO,ABSHEC*345PS,General Contractor,4,8413358
ACHomes LLC,ACHOML*864NK,General Contractor,4,400840
ADAMS RESIDENTIAL CONTRNG INC,ADAMSRC972JG,General Contractor,4,1130000
ADVANTAGE REALTY ADVISORS LLC,ADVANRA792K4,General Contractor,4,336532
AMP REMODEL LLC,AMPRERL777R8,General Contractor,4,275000
ANDERSEN CONST CO OF WASH LLC,ANDERCC822BW,General Contractor,4,292385894
ARCHADECK OF SEATTLE EASTSIDE,ARCHASE831BE,General Contractor,4,81959
ASH HAUS LLC,ASHHAHL775J1,General Contractor,4,1667647
ATI RESTORATION LLC,ATIRERL791N7,General Contractor,4,67500
B.G.B CONTRACTOR SERVICES LLC,BGBCOCS814P1,General Contractor,4,1198300
BACKYARD STORAGE SOLUTIONS LLC,BACKYSS867PO,General Contractor,4,40379
BENDER CUSTOM CONST INC,BENDECC884DE,General Contractor,4,2145976
BEVEL LLC,BEVELL*806RD,General Contractor,4,467000
BIG BEN'S CONSTRUCTION LLC,BIGBEBC823C2,General Contractor,4,949747
BRACE POINT CARPENTRY LLC,BRACEPC974QM,General Contractor,4,1485059
BUILD & RESTORE LLC,BUILDRL905MO,General Contractor,4,240000
CAPSTONE SOLUTIONS INC,CAPSTSI883OS,General Contractor,4,245000
"CARPENTER, A",CARPE**998NH,General Contractor,4,208418
CHAIN CONSTRUCTION LLC,CHAINCL825NU,General Contractor,4,294974
City Construction Solution LLC,CITYCCS772BR,Single Family/Duplex,4,138310
D L H INC,DLHIN**072B5,General Contractor,4,738828
DECKS RESTORE LLC,DECKSRL797P2,General Contractor,4,58988
DEGRAZIA GENERAL CONTRS LLC,DEGRAGC853LR,General Contractor,4,492449
DENIZEN CONSTRUCTION LLC,DENIZCL814OE,General Contractor,4,205000
DIMA CONSTRUCTION LLC,DIMACCL825BB,General Contractor,4,1192436
DINGNOR LLC,DINGNL*840N4,General Contractor,4,465989
DOWBUILT INC,DOWBUI*818BD,General Contractor,4,2144503
DRC BY DANIEL LLC,DRCDADL755D7,General Contractor,4,152789
EDWARDS CONSTRUCTION GROUP,EDWARCG849MQ,General Contractor,4,525000
ELITE COMMERCIAL CONTRACTING,ELITECC020CD,General Contractor,4,548000
EVEROSE LLC,EVEROL*836OF,General Contractor,4,531319
FRANKY'S EXCAVATION LLC,FRANKEL791JE,General Contractor,4,110920
FRASER DESIGN BUILD LLC,FRASEDB760DF,General Contractor,4,756568
FULLWILER CONSTRUCTION INC,FULLWCI903M2,General Contractor,4,1627873
GOUDY CONSTRUCTION LLC,GOUDYCL896RN,General Contractor,4,1357467
GRAY WC,GRAYWW*788B2,General Contractor,4,1158248
GREEN WAY HOMES LLC,GREENWH824QN,General Contractor,4,3043652
Grewalz Construction INC,GREWACI992DK,Single Family/Duplex,4,1221850
HALVERSON DESIGN BUILD LLC,HALVEDB835BU,General Contractor,4,2343584
HAPPY AT HOME CONTRACTING LLC,HAPPYHC823KA,General Contractor,4,735781
HEART & HAMMER CONST LLC,HEARTHC768DD,General Contractor,4,370000
HIGH VALUE ASSETS LLC,HIGHVVA780NE,General Contractor,4,307988
HOME CARE CONTRACTORS LLC,HOMECCC834M1,General Contractor,4,439655
HORIZON RETAIL CONST INC,HORIZRC072N5,General Contractor,4,426673
HOWE INTERIORS AND CONST LLC,HOWEIIC831PE,General Contractor,4,733658
HUB CONSTRUCTION GROUP LLC,HUBCOCG835N2,General Contractor,4,1713982
HUNTER DESIGN LLC,HUNTEDL891KB,General Contractor,4,375000
IRONS BROTHERS CONSTRUCTION IN,IRONSBC961LC,General Contractor,4,43089
JESUS BLESS ME RMDLNG/CONT LLC,JESUSBM761CN,General Contractor,4,340000
JMP CONSTRUCTION LLC,JMPCOCL826JW,General Contractor,4,2030437
JOE MYERS CONSTRUCTION INC,JOEMYMC951PP,General Contractor,4,370000
JOSH NIEDERBERGER CNTRTING LTD,JOSHNCL007L1,General Contractor,4,675000
JSM CONSTRUCTION INC,JSMCOCI772BK,General Contractor,4,270824
LEWIS CONSTRUCTION GROUP LLC,LEWISCG873B5,General Contractor,4,868155
LIMELITE DEVELOPMENT LLC,LIMELDL782LZ,General Contractor,4,1902398
LOCAL BUILT HOMES LLC,LOCALBH761Q2,General Contractor,4,1218074
MARIO SOLEDAD LLC,MARIOSL882KD,General Contractor,4,656089
MARK WAHLQUIST CONSTRUCTION CO,MARKWWC920MQ,General Contractor,4,175000
MARTINE CONSTRUCTION NW LLC,MARTICN882CN,General Contractor,4,167873
MCKINSTRY CO LLC,MCKINCL942DW,General Contractor,4,319800
MODERN BUILDINGS,MODERB*850B1,General Contractor,4,1407000
MODERN CARPENTRY LLC,MODERCL811LL,General Contractor,4,293750
MW BUILDS LLC,MWBUIBL780NH,General Contractor,4,1180000
NATIONAL RESTORATION CONST LLC,NATIORC792M6,General Contractor,4,237000
NOBLE WOODWORK INC,NOBLEWI821JB,General Contractor,4,227589
NOR-PAC SEATING COMPANY INC,NORPASC968RA,General Contractor,4,595825
NORTH CAPE CONTRACTORS LLC,NORTHCC814JZ,General Contractor,4,1984111
NW BUILDERS & RENOVATION,NWBUIBR813NK,General Contractor,4,180000
O'CONNELL LEGACY BUILDERS,OCONNLB855MU,General Contractor,4,481104
ORR RESTORATION & REMODEL LLC,ORRRERR880Q6,General Contractor,4,573644
PACIFIC CONSTRUCTION SVCS LLC,PACIFCS781D9,General Contractor,4,1504268
PRESTIGIOUS BUILD LLC,PRESTBL824CH,General Contractor,4,868630
PRO DECKS NW LLC,PRODEDN772PL,General Contractor,4,43480
PROBUILD CONSTRUCTION,PROBUC*813KC,General Contractor,4,315000
Plumb Level Square LLC,PLUMBLS867DQ,Commercial,4,283000
R & R CUSTOM CONSTRUCTION LLC,RRCUSRC784DU,General Contractor,4,506654
RAIN CITY CONTRACTING LLC,RAINCCC862MT,General Contractor,4,251650
RENEWAL REMODELS & ADDITIONS,RENEWRA866JG,General Contractor,4,964125
SCHILPEROORT & BROOKS INC,SCHILBI993NC,General Contractor,4,488627
SCHUMACHER CONSTRUCTION,SCHUMC*770OK,General Contractor,4,190000
SCHUMACHER DESIGN BUILD LLC,SCHUMDB780RL,General Contractor,4,205000
SEA & SHORE CONSTRUCTION INC,SEASHCI099QD,General Contractor,4,120000
SEA RENOVATION INC,SEARERI774PR,General Contractor,4,215000
SEATTLE ADU,SEATTA*811RQ,General Contractor,4,412128
SLEDGE SEATTLE LLC,SLEDGSL829JQ,General Contractor,4,60500
SONS OF THUNDER CONST LLC,SONSTTC784C4,General Contractor,4,200000
STAR CONSTRUCTION WA LLC,STARCCW791L5,General Contractor,4,58458
T&A NORTHWEST CO.,TNORTNC792B2,General Contractor,4,84001
TAKE TWO CONSTRUCTION LLC,TAKETTC824JZ,General Contractor,4,569189
TNT CONTRACTING LLC,TNTCOCL789BO,General Contractor,4,144481
TOPAZ REMODELING INC,TOPAZRI777OA,General Contractor,4,317939
TOUCHSTONE BUILDERS INC,TOUCHBI014B9,Single Family/Duplex,4,565000
TROWBRIDGE LLC,TROWBL*825JR,General Contractor,4,206000
Urban Oasis Dsgn & Const LLC,URBANOD903J8,General Contractor,4,220155
VALOR BUILDS COLLABORATIVE LLC,VALORBC846DT,General Contractor,4,1730950
W R HANSON INC,WRHAN**251B1,General Contractor,4,752567
W S FELDT GENERAL CONTR INC,WSFELGC999B9,General Contractor,4,360000
WALEFINS CONSTRUCTION LLC,WALEFCL798OT,General Contractor,4,1160000
"WHITING-TURNER CONTR CO, THE",WHITITC099LG,General Contractor,4,395000
ZSA INC,ZSAINI*846CW,General Contractor,4,12427771
12 DECKS & FENCES LLC,12DECDF813MN,General Contractor,3,25500
14 CONSTRUCTION LLC,14CONCL771LE,General Contractor,3,1868335
425 REMODEL LLC,425RERL793BO,General Contractor,3,675307
A & M HOMES LLC,MHOMEHL865KA,General Contractor,3,2162037
ACE CONSTRUCTION SERVICES,ACECOCS813O5,General Contractor,3,18033490
ALTERED EARTH WORKS,ALTEREW775ND,General Contractor,3,76530
ARRAY BUILD LLC,ARRAYBL866MC,General Contractor,3,1547283
ASCENDENT LLC,ASCENL*996N9,General Contractor,3,50000
AVALON NW INC,AVALONI044DM,General Contractor,3,250000
Alexander Hiebert,ADVANRA792K4,Single Family/Duplex,3,1391268
AmyWorks Inc,AMYWOI*899RT,General Contractor,3,463362
BAER CONSTRUCTION INC,BAERCCI941C3,General Contractor,3,540699
BEAVERBUILD LLC,BEAVEL*764DO,General Contractor,3,490000
BEK'S CONSTRUCTION INC,BEKSCCI850KR,General Contractor,3,178079
BENNION CONSTRUCTION LLC,BENNICL901D6,General Contractor,3,230000
BLACKWOOD EXCAVATION LLC,BLACKEL774PF,General Contractor,3,520000
BLUE CANYON CONSTRUCTION INC,BLUECC*043D7,General Contractor,3,175000
BLUE LAKE CONSTRUCTION LLC,BLUELLC760C3,General Contractor,3,425779
BUILDING RESOURCES INC,BUILDRI949BQ,General Contractor,3,156511
BURL,BURL***761NL,General Contractor,3,107421
Brakebill Construction Inc,BRAKECI811J6,General Contractor,3,395000
C4DIGS INC,C4DIGI*902DZ,General Contractor,3,1588230
CASCADE BUILT LLC,CASCABL906BK,General Contractor,3,1146321
CASCADE VISTA DEVELOPER LLC,CASCAVD760NE,General Contractor,3,4772955
CHARDOUL SUTTER CONST INC,CHARDSC927DK,General Contractor,3,377509
CHERMAK CONSTRUCTION INC,CHERMCI110NU,General Contractor,3,185157
CLARK CONSTRUCTION GROUP LLC,CLARKCG963M2,General Contractor,3,4562934
COHO ENTERPRISES LLC,COHOEEL785BD,General Contractor,3,250000
CONSTRUCTION EXPEDITORS LLC,CONSTEL920CR,General Contractor,3,215000
CORNERSTONE CONST/SEATTLE INC,CORNECI962RO,General Contractor,3,809600
CORNERSTONE HOME RENOVATRS LLC,CORNEHR832BK,General Contractor,3,380000
CUSTOM WERX DESIGN,CUSTOWD825P6,General Contractor,3,316033
CUZKO CONSTRUCTION LLC,CUZKOCL761NN,General Contractor,3,470000
D L J WOODWORKS,DLJWO**001J8,General Contractor,3,280000
D3 PROJECTS LLC,D3PROPL767Q1,General Contractor,3,1174224
DAYLIGHT HABITAT LLC,DAYLIHL856K9,General Contractor,3,123000
ECO LINE PROJ MANAGEMENT LLC,ECOLILP919D3,General Contractor,3,64000
EKD ESTATES LLC,EKDESEL773KC,General Contractor,3,905087
ELLSWORTH BUILDERS INC,ELLSWBI099CF,General Contractor,3,292000
EMERALD REMODELING LLC,EMERARL771BZ,General Contractor,3,455000
ENERGY MANAGEMENT SERVICES INC,ENERGMS813RS,General Contractor,3,404556
EVERCREST WA BUILDERS LLC,EVERCWB770RD,General Contractor,3,27000
EVERGREEN HOME EXTERIORS,EVERGHE819RP,General Contractor,3,110869
EXPERT ENVIRONMENTAL SRVCS LLC,EXPERES817PA,General Contractor,3,634501
EXSTATIC LLC,EXSTAL*775LT,General Contractor,3,1488052
Elite Remodeling LLC,ELITERL864B1,General Contractor,3,95000
Equinox builders llc,EQUINBL781NE,Single Family/Duplex,3,249044
FINE ELEMENT CONSTRUCTION LLC,FINEEEC751KE,General Contractor,3,332931
GARTON DEVELOPMENTS LLC,GARTODL770MP,General Contractor,3,1898367
GLORIA CONNORS,,Commercial,3,300000
GOEDECKE BUILDERS LLC,GOEDEBL831RN,General Contractor,3,405149
GPROJECTS LLC,GPROJL*981NB,General Contractor,3,2721708
GRR LLC,GRRLLL*824NC,General Contractor,3,255000
GS KITCHEN & BATH LLC,GSKITKB776R2,General Contractor,3,473564
HABERZETLE HOMES INC,HABERHI863N6,General Contractor,3,1753096
HANDYMAN RESCUE TEAM,HANDYRT823NU,General Contractor,3,105000
HANSEN RENOVATION INC,HANSERI931DF,General Contractor,3,500000
HAWK BUILDING LLC,HAWKBBL824BQ,General Contractor,3,175000
HELDRIDGE CONSTRUCTION LLC,HELDRCL871KC,General Contractor,3,1007113
HILGER CONSTRUCTION INC,HILGECI033QK,General Contractor,3,40000
HOOKS CONSTRUCTION,HOOKSC*773NC,General Contractor,3,157158
HOUSEWORKS CONSTRUCTION CO,HOUSECC093L6,General Contractor,3,76231
HTECC-HAWAII TECH ENV CONST CO,HTECCTE766P2,General Contractor,3,1210072
HUIZENGA GROUP LLC,HUIZEGL833DG,General Contractor,3,210000
HUNNY & SUNNY HOMES LLC,HUNNYSH780N6,General Contractor,3,2388035
Hutyler Consulting,HUTYLC*871D5,General Contractor,3,199900
IMAR GARDEN ARCHIT & MAINT INC,IMARGGA883J6,General Contractor,3,65000
IN HARMONY SERVICES INC,INHARS*973PC,General Contractor,3,225000
INNATE AEC LLC,INNATAL768JP,General Contractor,3,326000
INNOVATIVE CONST SOLUTIONS,INNOVCS781K5,General Contractor,3,1018000
J HUGHES CONSTRUCTION INC,JHUGHCI051P6,Commercial,3,4263625
J&J GENERAL CONTRACTING LLC,JJGENGC818PT,General Contractor,3,45000
JC PLASTER & STUCCO LLC,JCPLAPS811L1,General Contractor,3,2435000
JK BUILD LLC,JKBUIBL799DU,General Contractor,3,656000
JOE HALL CONSTRUCTION INC,JOEHAC*259RT,General Contractor,3,720000
JONATHAN DAVID BUILDING CO LLC,JONATDB762CF,General Contractor,3,540000
KIMO CONSTRUCTION,KIMOCC*806NO,General Contractor,3,60000
KLB CONSTRUCTION LLC,KLBCOCL766OZ,General Contractor,3,253354
LAVILLE BUILDERS LLC,LAVILB*772QG,General Contractor,3,325000
LEFAM REALTY LLC,LEFAMRL756B9,General Contractor,3,254141
LEN CAN BUILDERS INC,LENCACB932NZ,General Contractor,3,244768
LEWDUN CONSTRUCTION LLC,LEWDUCL762O5,General Contractor,3,522000
LNL BUILDS LLC,LNLBUBL821PH,General Contractor,3,2814091
LOYALTY HOMES LLP,LOYALHL770NT,General Contractor,3,987398
LUCAS DESIGNS LLC,LUCASDL744DZ,General Contractor,3,1006686
LUXURY CONSTRUCTION LLC,LUXURCL778NS,General Contractor,3,65000
M R CONSTRUCTION,MRCON**077RZ,General Contractor,3,838371
MAGAZINE QUALITY KITCHENS,MAGAZQK847DT,General Contractor,3,310500
MAND CONSTRUCTION LLC,MANDCCL823N7,General Contractor,3,241403
MODE CONTRACTING LLC,MODECCL901MB,General Contractor,3,504097
MORRIS CONSTRUCTION SRVC INC,MORRICS822OQ,General Contractor,3,116000
MOUNT BAKER REMODELING LLC,MOUNTBR923MG,General Contractor,3,402000
NAUGHTY ROTTIES DIRT WORKS LLC,NAUGHRD773KA,General Contractor,3,385000
NEWPORT WEST LLC,NEWPOWL835RG,General Contractor,3,1457743
NIC'S CONSTRUCTION LLC,NICSCCL801NS,General Contractor,3,155000
NOBLE SOLID SURFACE LLC,NOBLESS836PT,General Contractor,3,174665
NORDIC SERVICES INC,NORDISI180QA,General Contractor,3,676000
NORTHERN STAR CONSTRUCTION,NORTHSC780MR,General Contractor,3,820000
NORTHWEST PRECISION BLDRS LLC,NORTHPB763OK,General Contractor,3,400000
NW INVESTMENT BUILDERS LLC,NWINVIB892JA,General Contractor,3,1484992
NWIN HOMES LLC,NWINHHL774QF,General Contractor,3,1602331
OMEGA LIMITED CONSTRUCTION LLC,OMEGALC936QG,General Contractor,3,199768
OPTIMUS CONST AND DEV INC,OPTIMCD856LK,General Contractor,3,88000
PACIFIC RESTORATION NW LLC,PACIFRN751BT,General Contractor,3,98500
PACIFICA LANDSCAPES LLC,PACIFLL873O4,General Contractor,3,82000
PATRICELLI CONSTRUCTION INC,PATRICI024M7,General Contractor,3,305000
PAU HANA PRODUCTIONS LLC,PAUHAHP875R3,General Contractor,3,269966
PAUL DAVIS RESTORATION,PAULDDR932L5,General Contractor,3,315000
PCL CONSTRUCTION SRVC INC,PCLCOSI099NW,General Contractor,3,129448000
PDK CONSTRUCTION,PDKCOC*766BU,General Contractor,3,485068
PIVOTAL CONSTRUCTION,PIVOTC*773KK,General Contractor,3,1089387
PMACGC LLC,PMACGL*812B2,General Contractor,3,486541
PNW KL CONSTRUCTION LLC,PNWKLKC831P3,General Contractor,3,380000
PREMIER FIELD DEVELOPMENT,PREMIFD971RW,General Contractor,3,1528250
Pacific Building Envelope Inc,PACIFBE890J1,General Contractor,3,3295000
QUEEN ANNE PAINTING CO INC,QUEENAP099KF,General Contractor,3,65574
R H H CONSTRUCTION LLC,RHHCOHH894PQ,General Contractor,3,649680
R L CONSTRUCTION,RLCONLC883PB,General Contractor,3,70000
R&J DREAM MAKERS LLC,RJDREDM821R6,General Contractor,3,80000
REILEX CONSTRUCTION LLC,REILECL805M2,General Contractor,3,90000
REINBUILT CORPORATION,REINBC*777K2,General Contractor,3,138594
RENEW HOMES NORTHWEST LLC,RENEWHN766QH,Single Family/Duplex,3,927744
ROOFSMART,ROOFS**797BK,General Contractor,3,461902
RUSSO BUILDERS LLC,RUSSOBL760KA,General Contractor,3,93261
RW ANDERSON SERVICES INC.,RWANDAS882L1,General Contractor,3,453433
RYAN COMPANIES US INC,RYANCCU886BP,General Contractor,3,37829568
Restored Design and Remodel,RESTODR859O4,General Contractor,3,226000
S W HATHAWAY INC,SWHATWH961PL,General Contractor,3,1546649
SCOT ECKLEY INC,SCOTEI*995D8,General Contractor,3,200000
SCRIBE CONSTRUCTION LLC,SCRIBCL837D1,General Contractor,3,59000
SEATTLE ROCKERIES LLC,SEATTRL802KF,General Contractor,3,37000
SHARP CONSTRUCTION LLC,SHARPCL953D2,General Contractor,3,604202
SIERRA CONSTRUCTION CO INC,SIERRCC145N8,General Contractor,3,70318404
SNOQUALMIE CONST SERVICES LLC,SNOQUCS761L7,General Contractor,3,135000
SPECTRUM MASTER BUILDERS,SPECTMB873DM,General Contractor,3,517355
STAUDT CONSTRUCTION LLC,STAUDCL781PG,General Contractor,3,523321
STEELHEAD COMMUNICATIONS INC,STEELCI972BS,General Contractor,3,195000
STEFAN KRISTJANSON,STEFAK*961CC,General Contractor,3,325000
T&T GROUP,TTGROG*813KZ,General Contractor,3,447330
TERRAIN SEATTLE CO,TERRASC914QK,General Contractor,3,330001
THOMAS FRAGNOLI CONSTRUCTION,THOMAFC861K8,General Contractor,3,871000
TRA CON,TRACOC*753PA,General Contractor,3,620815
TREEBIRD LLC,TREEBL*968OH,General Contractor,3,911879
TRUE BUILD,TRUEBB*781RM,General Contractor,3,1547731
VALENCIA CONSTRUCTION,VALENC*820KM,General Contractor,3,235000
VILLAGE BUILDERS LLC,VILLABL746CK,General Contractor,3,8483476
WATERS & WOOD INCORPORATED,WATERWI088RM,General Contractor,3,395600
WEST SEATTLE HANDYMAN & DSGN,WESTSSH783QS,General Contractor,3,31150
WILKINSON BUILDERS LLC,WILKIBL877QQ,General Contractor,3,535000
YAKUSH HOLDING LLC,YAKUSHL775R2,General Contractor,3,138000
3 KINGS ENVIRONMENTAL INC,3KINGEI036K3,General Contractor,2,210000
ABC BUILD LLC,ABCBUBL823N3,General Contractor,2,157838
ACADIA BUILDERS GROUP LLC,ACADIBG799N3,General Contractor,2,748769
ACTION INDUSTRIES LLC,ACTIOIL796JA,General Contractor,2,80000
ADAMS CONSTRUCTION SRVCS INC,ADAMSCS022DR,General Contractor,2,450000
ADAPT BUILDING DEVELOPMENT LLC,ADAPTBD816BP,General Contractor,2,710840
ADEKCO LLC,ADECOL*813J3,General Contractor,2,170000
"ADSE HOME IMPROVEMENTS, LLC",ADSEHHI787B5,Single Family/Duplex,2,136295
AERIE REMODEL & CONST SRVS LLC,AERIERC773O8,General Contractor,2,450000
AHORA CONSTRUCTION LLC,AHORACL820C8,General Contractor,2,170000
AKHIS REMODELING LLC,AKHISRL796QW,General Contractor,2,305816
ALAIR HOMES SEATTLE,ALAIRHS753RE,General Contractor,2,210884
ALCHEMY BUILDING COMPANY LLC,ALCHEBC890KS,General Contractor,2,901012
ALEXANDER'S U-RENT INC,ALEXAUI776D8,General Contractor,2,5000
ALL INCLUSIVE HOME DESIGN LLC,ALLINIH848QH,General Contractor,2,680686
ALL PRO GENERAL CONST INC,ALLPRPG773DM,General Contractor,2,175000
ALL TASKS STANDARD HTG/COOLING,ALLTATS919KL,General Contractor,2,57500
ALLIANCE LANDSCAPE SERV NW INC,ALLIALS861QG,General Contractor,2,43847
ALPHA DEVELOPERS LLC,ALPHADL793M8,General Contractor,2,135284
AMERICAN RAILWORKS LLC,AMERIRL893CC,General Contractor,2,300000
AMOGH CONSTS & RMDLNG LLC,AMOGHCR762OR,General Contractor,2,326795
ANCHOR TWO LLC,ANCHOTL787O1,General Contractor,2,280000
ANK CONSTRUCTION INC,ANKCOCI922O4,General Contractor,2,80000
APEX CUSTOM BUILDERS LLC,APEXCCB808BH,General Contractor,2,420000
APEX PAINTING COMPANY,APEXPC*011OS,General Contractor,2,281000
ASPEN RENOVATE LLC,ASPENRL796NR,General Contractor,2,170000
AULE-GROUP LLC,AULEGL*765NB,General Contractor,2,247452
AYERS CUSTOM CONSTRUCTION LLC,AYERSCC887RJ,General Contractor,2,58000
Able Const  and Maint LLC,ABLECC*902B2,General Contractor,2,517466
American Prestige Homes Inc,AMERIPH864JD,General Contractor,2,37000
Ascentus Ventures LLC,ASCEN**907CC,Single Family/Duplex,2,286000
BAIRD DESIGNS INC,BAIRDDI929JG,General Contractor,2,135000
BARCELO DEVELOPMENT LLC,BARCEDL756DJ,General Contractor,2,405000
BD BUILDS LLC,BDBUIBL801QZ,General Contractor,2,330000
BEAM TEAM CONSTRUCTION INC,BEAMTTC830N3,General Contractor,2,6000
BEST COAST CONSTRUCTION LLC,BESTCCC776KZ,General Contractor,2,479606
BIG FINISH INC,BIGFIFI857CP,General Contractor,2,79050
BLACK HAWK REMODEL LLC,BLACKHR881CS,General Contractor,2,280000
BLUE CORE POWER LLC,BLUECCP8415N,General Contractor,2,150000
BLUE SIERRA CAPITAL,BLUESSC764LP,General Contractor,2,104289
BLUE SKY CARPENTRY INC,BLUESSC929Q5,General Contractor,2,484840
BLUSKY RESTORATION CONTR LLC,BLUSKRC8543E,General Contractor,2,1156246
BNM GREEN HOUSING LLC,BNMGRGH824JP,General Contractor,2,125000
BOARDWALK INTERIORS LLC,BOARDIL774CL,General Contractor,2,189488
BOGOMAZ LLC,BOGOML*919BT,General Contractor,2,50000
BOSS CONSTRUCTION INC,BOSSCI*083N5,General Contractor,2,209368
BOULDER PEAK RESTORATION LLC,BOULDPR766D8,General Contractor,2,78859
BOYCE CONSTRUCTION INC,BOYCECI066QQ,General Contractor,2,440000
BRADY MAINT & HNDYMN SRVCS INC,BRADYMH830JM,General Contractor,2,47029
BRIGHTEN CONSTRUCTION LLC,BRIGHCL806CS,General Contractor,2,525014
BRIXTON BUILDERS INC,BRIXTBI981PD,General Contractor,2,135000
BUILD GROUP INC,BUILDGI806RJ,General Contractor,2,534948
BUILDERS SHOWPLACE LLC,BUILDSL871CF,General Contractor,2,541355
BUILTWELL CO LLC,BUILTCL835KE,General Contractor,2,160000
BULLDOG CONST & REMODELING LLC,BULLDCR925KF,General Contractor,2,195000
BURKE RE SERVICES LLC,BURKERS774Q9,General Contractor,2,29353
BURTON CONSTRUCTION INC,BURTOCI038MZ,General Contractor,2,370000
Bakstad Construction LLC,BAKSTCL924QG,General Contractor,2,125000
Brock Builds,BROCKB*878OT,General Contractor,2,160000
Buddha Builders LLC,BUDDHBL825QB,General Contractor,2,5000
C&M REMODELING LLC,CMREMRL827QF,General Contractor,2,345487
CAMGENUITY LLC,CAMGEL*910Q5,General Contractor,2,350000
CATCH CONSTRUCTION LLC,CATCHCL805LW,General Contractor,2,295072
CBJ PROPERTY INVESTMENTS LLC,CBJPRPI776N5,General Contractor,2,1632073
CCM ARCHITECTURE & CNSTRCTN,CCMARAC834J6,General Contractor,2,280000
CDK CONSTRUCTION LLC,CDKCOCL752CL,General Contractor,2,740000
CENTERRA ALLIANCE LLC,CENTEAL824KN,General Contractor,2,75000
CENTREVILLE CONST (US) INC,CENTRCU791D3,General Contractor,2,600000
CENTURIAN PROPERTIES LLC,CENTUPL925RJ,General Contractor,2,323100
CERRETI HOMES LLC,CERREHL763RR,General Contractor,2,774539
CHOICE CONSTRUCTION GROUP LLC,CHOICCG831O1,General Contractor,2,480000
CHUMLEY CONSTRUCTION LLC,CHUMLCL890ME,General Contractor,2,23450
CITY HOMES LLC,CITYHHL829P2,General Contractor,2,331322
CLR CONSTRUCTION INC,CLRCOCI762KP,General Contractor,2,111716
COBALT CONSTRUCTION LLC,COBALCL851BN,General Contractor,2,347000
COHO CONSTRUCTION & DESIGN LLC,COHOCCD812P9,General Contractor,2,38000
COLVOS CONSTRUCTION LLC,COLVOCL832CZ,General Contractor,2,900000
COMMERCIAL RESTORATION CO LLC,COMMERC821NM,General Contractor,2,303000
CONSTANT NORTHWEST CNST SV LLC,CONSTNC764KF,General Contractor,2,270000
CONTEXT DESIGN/BUILD INC,CONTEDB994KN,General Contractor,2,116971
CONTOUR BUILDS,CONTOB*762PC,General Contractor,2,513882
CORNERSTONE CONST GROUP INC,CORNECG877P5,General Contractor,2,20000
CORR CRAFTSMEN LLC,CORRCCL761QQ,General Contractor,2,210000
CTI CONSTRUCTION INC,CTICOCI973KR,General Contractor,2,30000
Casa Bella LLC,CASABBL823LO,General Contractor,2,277684
Charter Construction,CHARTCL776J5,Multifamily,2,252000
Crowder Construction LLC,CROWDCL874O5,General Contractor,2,350000
DAVIS DOOR SERVICE INC,DAVISDS181C8,Multifamily,2,110000
DAWIT GC LLC,DAWITGL756M1,General Contractor,2,180480
DB GENERAL CONTRACTORS INC,DBGENGC943O9,General Contractor,2,200000
DECK PRO,DECKP**924BP,General Contractor,2,57000
DEER HARBOR GROUP,DEERHHG767RJ,General Contractor,2,600000
DELEN CONSTRUCTION SRVS INC,DELENCS904QS,General Contractor,2,450000
DESIGN BY OZ LLC,DESIGOL826N9,General Contractor,2,26368
DEVONSHIRE LANDSCAPES INC,DEVONLI951B8,General Contractor,2,47496
DHC CONTRACTING INC,DHCCOCI764D1,General Contractor,2,79939
DIABLO TELECOM & CONST INC,DIABLTC750CQ,General Contractor,2,55000
DIEHL CONSTRUCTION LLC,DIEHLCL902DW,General Contractor,2,22917
DIRT MERCHANTS GC LLC,DIRTMMG760RB,General Contractor,2,720608
DOLAN CONSTRUCTION INC,DOLANCI802B1,General Contractor,2,1026129
DT REMODELING INC,DTREMRI813K3,General Contractor,2,226937
E & H CONSTRUCTION CO,EHCONC*137OQ,General Contractor,2,4000000
EAKMAN CONSTRUCTION,EAKMAC*771C4,General Contractor,2,408727
ELAM CONSTRUCTION LLC,ELAMCCL821DG,General Contractor,2,766018
ELEVATE INVESTMENTS INC,ELEVAII783BJ,General Contractor,2,50000
ELEVATED RESTORATION SRVCS LLC,ELEVARS778P3,General Contractor,2,200224
ELLIOTT BAY CONSTRUCTION LLC,ELLIOBC772P6,General Contractor,2,226000
"ENGINEERED PRODUCTS, A PAPE CO",ENGINPC931CO,General Contractor,2,330000
ERICSSON INC,ERICSI*909LH,General Contractor,2,65000
ERNIE LOBERG CONST CO INC,ERNIELC846P8,General Contractor,2,550000
ETERNIA CONSTRUCTION LLC,ETERNCL781NK,General Contractor,2,57000
EULER CONSTRUCTION LLC,EULERCL838KP,General Contractor,2,215000
EVERNORTH BUILDERS,EVERNB*775KH,General Contractor,2,280000
Envision Builders Inc,ENVISBI752MC,Single Family/Duplex,2,65315
F & M CONST & REMODELING LLC,FMCONMC877MR,General Contractor,2,461431
