contractor_name,license_number,specialty,permit_count,total_project_value
RAMJACK WEST,RAMJAW*852PW,General Contractor,14,425666
TEKTON LLC,TEKTOL*794P9,General Contractor,14,2338770
GREEN CANOPY NODE HOMES LLC,GREENCN776OG,General Contractor,13,16105815
JNG CONSTRUCTION INC,JNGCOCI864CG,General Contractor,13,3687471
KREKOW JENNINGS INC,KREKOJI110BZ,General Contractor,13,20696396
MAKSYMOV BROWNSTONE LLC,MAKSYBL809B7,General Contractor,13,1095000
PROFORM CONSTRUCTION LLC,PROFOCL934PN,General Contractor,13,3617408
RAFN COMPANY,RAFNC**061J7,Commercial,13,4524388
STERLING Telecom & Const Inc,STERLTC884C9,General Contractor,13,865000
TERRAFIRMA FOUNDATION RPR INC,TERRAFR931LH,General Contractor,13,383367
WATERFRONT CONSTRUCTION INC,WATERCI881RS,General Contractor,13,1621670
ALL DECKS & DOORS INC,ALLDEDD860DU,General Contractor,12,381763
BLOX CONSTRUCTION INC,BLOXCCI955BD,General Contractor,12,1726660
Better Builders,BETTEB*895RL,Single Family/Duplex,12,1394446
COMPASS GENERAL CONST I LLC,COMPAGC933B4,General Contractor,12,106965313
"CONFLUENCE CONSTRUCTION, LLC",CONFLCL795K6,General Contractor,12,5556470
D P INC GENERAL CONTRACTORS,DPINCGC066BU,General Contractor,12,4081338
EDGE COMMUNITY BUILDERS LLC,EDGECCB810OQ,General Contractor,12,6840729
GLACIER BAY CONSTRUCTION LLC,GLACIBC813O4,General Contractor,12,2133802
HUUS INC,HUUSII*885NU,General Contractor,12,1845341
J & M REMODEL & REPAIR LLC,JMREMMR920M1,General Contractor,12,1208913
JAKE'SD CORPORATION,JAKESDC910L3,General Contractor,12,5782435
OLYMPIC DECKS LLC,OLYMPDL816OW,General Contractor,12,155948
Pro-Mondo LLC,PROMOL*883MU,General Contractor,12,751750
ROSE HOMES GC LLC,ROSEHHG797DS,General Contractor,12,5008549
SEATTLE CONST RESOURCES INC,SEATTCR101BZ,General Contractor,12,1077664
THE MCKINNEY GROUP INC,MCKINGI953CZ,General Contractor,12,1749677
